prompt,LLC-load-misses,dTLB-load-misses,cycle_activity.stalls_total,instructions,cycles
K\X7(\b(OclE|^J3d^qQF'/Qffg%)\p|ai,19080634,3835643,10108632208,22519650123,21939271175
`8fGkaJ;<zPY`~xzh/]eBfPjq#Q1]JEdzaeXrD1be06:,17126610,3888770,7506540882,19730021530,16977817950
"""$7bR=;PuJ(zq?ak",17464609,4427795,9157315110,22052302161,20503407688
":pd~h?yZ@C]CycBq'00:V8DO0""lJlG+c%/",17578276,3882184,10291268597,22596523704,22479179159
"Co""YMeN6O>*c:f0wbh`['#@Hmx:x-Pn^R59YIYh""4K",17374566,3911595,7165453001,19312723702,16193801911
".n-?H;vUK_""5TE""KY]wH_W/c'S-N_cIAq'^]EuOk,jnw",17480669,3905800,9890538580,22568005043,21787436376
+J>+cz<e\<.!=)&*:Hd9Gk'2-%hKLYWW@^{wY,18006466,3956324,10322303843,22550168146,22465750364
"!.Etgq$<sFEgM5eeJnLQ0g,AR9d\Z0bel.~-k,MYC",17884263,3863794,7212240930,19210111056,16163666422
G9eJ2X.)(^b*(q&an^gK,18293266,4415110,9932113759,22587824209,21869480066
"O7oIa&e4V""BZ\+J""3&%qNwAJAF",18095385,3866829,10378272169,22614088682,22636371404
"wAM[""k=VO$7""V07FpWafc[n7fPW;D,!{@*-QNZ,cb",17679187,3888670,7436873083,19571030957,16799817458
"KLNys""d!=@,WqTR0Cn$#x",18830302,3872000,9770000602,22510671877,21502273526
"\kWu)_e=F4-I]9P5ssFIj^<f,e}N0X]?3amjXM",18101470,3850569,10448489758,22698417920,22768271816
2BqG)1hQ`sQtIZ./W3RM/3cizd3~=\m7m9^TCl^,19465925,3905952,7364641524,19293652960,16500863879
"W\?s.,pxnW8QT*g%R}lyQ0v*U$hKg(ETHr=UUozF0",17931132,3851877,9941459745,22750032931,21895544615
"*scC#S\7M9v,V;!9+)!H#j+1}4'",19161593,5454623,10754142973,22560998551,23146520592
"f=OI""nOvwJLWJ.@ewgxt/2<X",20325468,3882262,7215014006,19177176018,16134478260
&3xNhdjf6dx,22636084,3956437,8192039060,19122702949,17731585554
"uh""b~NB%=xj__]b=DQwkxhL6>1_P+7gEt^i\-j#c;%z9G",22581481,4059318,7909922399,19376164991,17181925675
/7dPy?>#GRep?,20738605,4042520,7107758733,18755684770,15763997301
Pb_SowgXQ28k,20332920,4182491,7928383309,19618144883,17414786504
"*/Fk*Gu$Ew,cTa)jsGl>4YoL^NazonbbY",22719588,4128037,6742091798,18256644334,14766226012
AcSeel(F3M=s>ZQXN$LX',23540501,4164688,8020547219,19387641128,17218710811
"];E?vKqM4XRkjP]zFQEf)""-^_pvh3V_7z",19970013,4619473,7402248570,18650109500,16124707397
"S_E]Pzlme!""Z{r[S`V$nOR4(S=~",19962236,3965853,6899699706,18723792544,15430555045
-24-)EO4*u1@N`e,18446162,3932279,7047669029,19632339759,15985485934
"ja]-.TEEjZKLfgCnF#&zDf|""N6C3D@VHINH\vf\O=J9`L",19121370,4197598,10088479346,22631591616,21893893685
Wk|~J$}?7Ue{oO^.AXTY|1e3$osDZCNTg_T]f@|Hv,18156794,3924601,7284821967,19383075436,16412380890
"~Q""UE1M/Q{K3DL,E#EY)<Y>.MIjyG/M6AT",19114629,3912292,7225494908,19497724201,16275828906
">fzCN9x,rD*mP}o:""!L4bhTGbwaCgPx47lx>0LUd@./bGJt3",19042202,4037248,10204314509,22600724691,22028569423
NujnGuiQo.gc+g-g0M`c;2Gay,18471082,3885413,7440160808,19423091109,16599750396
"Fc7]ee1\Va{xBjSh^,!7",18515078,3833986,7229890110,19628956661,16364437133
"Rvy2Z~.z'Gyla\%atK;<?i;g2,$>(|3Qw",19069131,3839886,9850330092,22499275132,21512937429
zA37+0VK~UgVk*1>2PO3x?V\!z@NsO{h`>Z,18627319,4901341,7645597146,19064194424,16942968979
T317'-WiW}6xpFp&},18720566,3891962,7068351761,19552656352,15964867929
2S3Og:DD2b,18571393,3833409,10049602488,22551847191,21869360446
`3etUofdz;ou<ZR,18079587,3922022,7342400212,19411154844,16525805934
)u(.:*~o\8i1{%]wV@E|%,18785950,3839924,5674412943,18194900241,13070857606
9BS_E3v6.9]'(<xgg[8;2vjzD;:wq06eM5UgcMB.eW^K&bj8sR,18388408,3834909,10298853522,22728880366,22373152088
g#SQe@Bf&ASu.+%:x_}:|Y$hqk?E3hTs4sPEcv!(H,17918174,4664758,7215831156,19316948252,16312222992
ru2<1T&{]a^lF*=A6,17883209,3946698,6804740046,19361940420,15492711767
o-+-hJP&}fFNs\RLc-e6G}C$gL'V4esXq|Nf+^&}wor@jB6o,17750483,3820401,10089518041,22631908224,22069797032
YIiByPS1]gxpb_3:]+-5<,18183110,4100957,7221757241,19140589879,16226336330
"jQ_=L{#[)g9N_qQqK*/px{SSuEgeIT,$6sHX",18525276,3816186,6939954008,19535948929,15812560218
"({""W8h+J=/:~P/p",18143085,3904586,10270239701,22606583824,22313260828
9~&j-zdt?]|<vrE[W#&7-yL4tP2Bcif[i;.KlG<o^t>VJ,18879277,4063720,7366306660,19391657606,16496807680
